,headline,misinformation
4,"Amazon wins naming rights to Seattle sports arena, will name it Climate Pledge Arena",yes
7,Houses claimed by the canal life on Egypts climate change frontline Ruth Michaelson,no
6,Pupils draft their own climate bill as anxiety grows over lack of guidance for schools,no
8,Massive hike in carbon tax needed if Ireland to meet targets ESRI,no
3,The Korean Government took every facial mask from factories and sent them to China.,yes
9,"On Climate Policy, Biden's Advisers Reveal More Than His Proposals Do",no
5,That humans are causing the rise in atmospheric CO2 is confirmed by multiple isotopic analyses.,no
1,"Christine Lagarde said that ""The elderly live too long and that is a risk to the global economy.""",yes
0,Hydroxychloroquine (HCQ) was developed by an Indian scientist named Prafulla Chandra Ray.,yes
2,"Yves Levy, husband of the former french health minister Agns Buzyn, inaugurated the P4 laboratory of Wuhan in China, where the coronavirus was created.",yes
