Unnamed: 0,advice_to_mgmt,company_id,cons,cons_vader,date,employee_status,employee_title,helpful,location,post_index,pros,pros_conflict,pros_fun,pros_identity,pros_vader,rating_balance,rating_career,rating_comp,rating_culture,rating_mgmt,rating_overall,review_title,review_title_vader,whole_review_text,years_at_company,vader_pros,vader_cons,vader_review_title,flair_pros,flair_cons,stress_post,company_name,post_id,state,SEC filings,GICSSector,GICSSubIndustry,Headquarters Location,Date first added,CIK,Founded,Region,Division
155609,,1625_hartford,No longer has a good training program. ZERO work/life balance. Lowest pay in the insurance industry.,,Mon Aug 12 2013 16:47:19 GMT+0100 (British Summer Time),Former Employee , Claims Adjuster,,"Tampa, FL",1625.0,I can't think of one pro.,,,,,1.0,2.0,2.0,2.0,1.0,2.0,Terrible pay and an extremely high turnover rate.,,Terrible pay and an extremely high turnover rate.. I can't think of one pro.. No longer has a good training program. ZERO work/life balance. Lowest pay in the insurance industry.,,0.0,-0.3182,-0.5423,0.8906,-0.9998,0.0,hartford,1625_hartford,FL,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766.0,,South,South Atlantic
145990,,14836_bankofamerica,So true I lost my job after 26 years. Reorganization and did not offer another position.,,Wed Dec 24 2014 05:23:42 GMT+0000 (Greenwich Mean Time),"Coordinator in Saint Petersburg, FL",,,"Saint Petersburg, FL",14836.0,Good company health benefits & time off,,,,,4.0,2.0,5.0,1.0,1.0,3.0,Loan officer,,Loan officer. Good company health benefits & time off. So true I lost my job after 26 years. Reorganization and did not offer another position.,,0.6705,0.1354,0.0,-0.8307,-0.5275,0.0,bankofamerica,14836_bankofamerica,FL,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858.0,,South,South Atlantic
249858,,2391_pnc,no challenging work. No appreciation/recognition for contractors,,Sun Jun 09 2013 17:00:25 GMT+0100 (British Summer Time),Current Contractor , Lead Software Engineer,,"Pittsburgh, PA",2391.0,work life balance and flexibility.,,,,,3.0,2.0,2.0,1.0,1.0,3.0,Good for work life balance,,Good for work life balance. work life balance and flexibility.. no challenging work. No appreciation/recognition for contractors,,0.34,-0.3907,0.4404,0.9996,-0.7781,0.0,pnc,2391_pnc,PA,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/04/1988,713676.0,,Northeast,Middle Atlantic
115197,,289_americantower,"managers beat you down, unprofessional.",,Tue Jul 14 2015 15:10:17 GMT+0100 (British Summer Time),"Project Manager in Los Angeles, CA",,,"Los Angeles, CA",289.0,salary was good but not worth it...,,,,,1.0,1.0,3.0,1.0,1.0,1.0,Project Manager,,"Project Manager. salary was good but not worth it.... managers beat you down, unprofessional.",,-0.0127,-0.5106,0.0,-0.9954,-0.9516,0.0,americantower,289_americantower,CA,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904.0,1906,West,Pacific
320062,,1660_bestbuy,Low pay and managers take to long to deal with bad employees.,,Tue Mar 13 2018 04:22:35 GMT+0000 (Greenwich Mean Time),Current Employee ," Geek Squad, Consultation Agent",,"Everett, WA",1660.0,A lot of room to grow and advancement within the company!,,,,,5.0,4.0,4.0,5.0,3.0,4.0,"Fun place to work, with great people.",,"Fun place to work, with great people.. A lot of room to grow and advancement within the company!. Low pay and managers take to long to deal with bad employees.",,0.0,-0.7184,0.8126,0.951,-0.9999,0.0,bestbuy,1660_bestbuy,WA,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478.0,,West,Pacific
234106,,555_intel,Size of the company is overwhelming at times.,,Mon Jun 17 2019 09:05:00 GMT+0100 (British Summer Time),Current Intern , Marketing Intern,,"Hillsboro, OR",555.0,"Great salary and benefits that are hard to match elsewhere. Intel is definitely invested in its employees and cares about fostering a positive work culture/environment. As an intern, full-time employees are very willing to help me when I ask for their advice/input. Intel offers a lot of personal/professional development resources. Company is a world technology leader.",,,,,5.0,5.0,5.0,5.0,5.0,4.0,Opportunities to grow/contribute professionally and personally,,"Opportunities to grow/contribute professionally and personally. Great salary and benefits that are hard to match elsewhere. Intel is definitely invested in its employees and cares about fostering a positive work culture/environment. As an intern, full-time employees are very willing to help me when I ask for their advice/input. Intel offers a lot of personal/professional development resources. Company is a world technology leader.. Size of the company is overwhelming at times.",,0.9556,0.0,0.3818,0.9976,-0.7751,0.0,intel,555_intel,OR,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863.0,,West,Pacific
176922,,1810_charlesschwab,"Management is inept, allot of favoritism. I was one of the top producers in that branch, in fact I moved almost $100,000,000 into Advised Investing over 3 years. As you can imagine that was quite a hard thing to do. Once the pace slowed down I was managed out and had to quit verses getting fired. I left in 2007 actually, before the market crash. I told my manager I was going to begin telling clients to get out of the market, and I was told I couldn't do that, and look what happened in 2008. They dont care about their clients stay away.",,Sat Nov 16 2013 23:14:56 GMT+0000 (Greenwich Mean Time),Former Employee , Senior Financial Consultant,,"Chicago, IL",1810.0,"I worked in a branch in Chicago, our flagship branch in fact. Reasonable hours",,,,,2.0,2.0,2.0,1.0,1.0,2.0,A Great Disappointment,,"A Great Disappointment. I worked in a branch in Chicago, our flagship branch in fact. Reasonable hours. Management is inept, allot of favoritism. I was one of the top producers in that branch, in fact I moved almost $100,000,000 into Advised Investing over 3 years. As you can imagine that was quite a hard thing to do. Once the pace slowed down I was managed out and had to quit verses getting fired. I left in 2007 actually, before the market crash. I told my manager I was going to begin telling clients to get out of the market, and I was told I couldn't do that, and look what happened in 2008. They dont care about their clients stay away.",,0.1027,-0.7968,0.2023,0.9983,-0.9999,0.0,charlesschwab,1810_charlesschwab,IL,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",02/06/1997,316709.0,,Midwest,East North Central
15153,,841_conocophillips,"No true vision or plans for managing retail & marketing, priorities and goals for current year change without explanation or time for annual plan to gain traction, very political, innovation and creative problem solving not encouraged, department managers hired and retained despite poor performance in managing staff.",,Wed Oct 12 2011 05:42:54 GMT+0100 (British Summer Time),"Marketing in Houston, TX",,,"Houston, TX",841.0,"Beautiful facility, pleasant environment, the people who are nice are REALLY nice.",,,,,2.0,4.0,2.5,2.0,,2.0,If you are an experienced hire be prepared for little guidance,,"If you are an experienced hire be prepared for little guidance. Beautiful facility, pleasant environment, the people who are nice are REALLY nice.. No true vision or plans for managing retail & marketing, priorities and goals for current year change without explanation or time for annual plan to gain traction, very political, innovation and creative problem solving not encouraged, department managers hired and retained despite poor performance in managing staff.",,0.9303,0.7469,0.2263,0.9867,-0.9986,0.0,conocophillips,841_conocophillips,TX,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165.0,2002,South,West South Central
105882,,450_marshandmclennan,"My initial training could have been better but the company is addressing onboarding and has committed a significant amount of money and resources to training this year. On the other side, one gets hired here to make things happen so self motivation is key.",,Wed Apr 13 2016 09:23:37 GMT+0100 (British Summer Time),"Principal in San Francisco, CA",,,"San Francisco, CA",450.0,"Very professional group of people - very bright, dedicated to the consulting field. There's an amazing amount of resources and when I've brought up a concern to upper management, it was addressed and taken care of.",,,,,5.0,5.0,5.0,5.0,5.0,5.0,MMC,,"MMC. Very professional group of people - very bright, dedicated to the consulting field. There's an amazing amount of resources and when I've brought up a concern to upper management, it was addressed and taken care of.. My initial training could have been better but the company is addressing onboarding and has committed a significant amount of money and resources to training this year. On the other side, one gets hired here to make things happen so self motivation is key.",,0.9256,0.8525,0.0,0.9912,0.9972,0.0,marshandmclennan,450_marshandmclennan,CA,reports,Financials,Insurance Brokers,"New York, New York",31/08/1987,62709.0,,West,Pacific
292011,,5081_cvshealth,Pay was not the best as it was hourly wage at the time.,,Sat Jan 09 2016 08:34:56 GMT+0000 (Greenwich Mean Time),Former Employee , Pharmacy Technician,,"Wayne, NJ",5081.0,Enjoyed fast paced environment. Worked here during college as a Pharmacy Technician before 2000,,,,,4.0,4.0,3.0,5.0,4.0,5.0,Great part time job,,Great part time job. Enjoyed fast paced environment. Worked here during college as a Pharmacy Technician before 2000. Pay was not the best as it was hourly wage at the time.,,0.5106,-0.5815,0.6249,0.9912,-0.9994,0.0,cvshealth,5081_cvshealth,NJ,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803.0,1996,Northeast,Middle Atlantic
